"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","renders outline variant","Button","2026-03-03","passed","2026-03-03","","","",""
"","6","adds and removes resize listener","PortraitLock","2026-03-03","passed","2026-03-03","","","",""
"","10","renders full card structure","Card","2026-03-03","passed","2026-03-03","","","",""
"","7","logs 404 error on mount","NotFound","2026-03-03","passed","2026-03-03","","","",""
"","3","applies custom className to Card","Card","2026-03-03","passed","2026-03-03","","","",""
"","1","should pass","example","2026-03-03","passed","2026-03-03","","","",""
"","3","renders small size","Button","2026-03-03","passed","2026-03-03","","","",""
"","34","shows loading spinner when not bootstrapped","ProtectedRoute","2026-03-03","passed","2026-03-03","","","",""
"","44","applies custom className","MercotraceLogo","2026-03-03","passed","2026-03-03","","","",""
"","40","CardTitle renders as heading","Card","2026-03-03","passed","2026-03-03","","","",""
"","1","is disabled when disabled prop is true","Input","2026-03-03","passed","2026-03-03","","","",""
"","3","applies custom className","Input","2026-03-03","passed","2026-03-03","","","",""
"","2","renders with different sizes","MercotraceLogo","2026-03-03","passed","2026-03-03","","","",""
"","3","renders with type password","Input","2026-03-03","passed","2026-03-03","","","",""
"","14","renders with placeholder","Input","2026-03-03","passed","2026-03-03","","","",""
"","3","redirects to login when bootstrapped but not authenticated","ProtectedRoute","2026-03-03","passed","2026-03-03","","","",""
"","4","returns null when height is large (not mobile landscape)","PortraitLock","2026-03-03","passed","2026-03-03","","","",""
"","11","renders with custom size","MercotraceIcon","2026-03-03","passed","2026-03-03","","","",""
"","5","renders destructive variant","Button","2026-03-03","passed","2026-03-03","","","",""
"","4","calls onChange when user types","Input","2026-03-03","passed","2026-03-03","","","",""
"","12","is disabled when disabled prop is true","Button","2026-03-03","passed","2026-03-03","","","",""
"","57","renders 404 heading","NotFound","2026-03-03","passed","2026-03-03","","","",""
"","13","calls onClick when clicked","Button","2026-03-03","passed","2026-03-03","","","",""
"","60","renders with default variant and size","Button","2026-03-03","passed","2026-03-03","","","",""
"","8","renders large size","Button","2026-03-03","passed","2026-03-03","","","",""
"","21","renders with text by default","MercotraceLogo","2026-03-03","passed","2026-03-03","","","",""
"","2","accepts and displays value","Input","2026-03-03","passed","2026-03-03","","","",""
"","11","returns null when not in landscape (desktop size)","PortraitLock","2026-03-03","passed","2026-03-03","","","",""
"","47","shows overlay when in mobile landscape","PortraitLock","2026-03-03","passed","2026-03-03","","","",""
"","6","renders SVG with default size","MercotraceIcon","2026-03-03","passed","2026-03-03","","","",""
"","18","renders with custom color","MercotraceIcon","2026-03-03","passed","2026-03-03","","","",""
"","21","renders Card with children","Card","2026-03-03","passed","2026-03-03","","","",""
"","2","hides text when showText is false","MercotraceLogo","2026-03-03","passed","2026-03-03","","","",""
"","8","renders link to home","NotFound","2026-03-03","passed","2026-03-03","","","",""
"","3","renders page not found message","NotFound","2026-03-03","passed","2026-03-03","","","",""
"","1","renders children when authenticated","ProtectedRoute","2026-03-03","passed","2026-03-03","","","",""
"","8","applies custom className","MobileBackButton","2026-03-03","passed","2026-03-03","","","",""
"","3","applies custom className","Button","2026-03-03","passed","2026-03-03","","","",""
"","57","renders with aria-label for accessibility","MobileBackButton","2026-03-03","passed","2026-03-03","","","",""
"","16","calls onClick when clicked","MobileBackButton","2026-03-03","passed","2026-03-03","","","",""
